"roster_id","team_id","year","person_id","created_at","updated_at"
83,3,20212022,8481554,"2021-10-07 15:30:51.826994-07","2021-10-07 15:30:51.826994-07"
84,3,20212022,8482109,"2021-10-07 15:30:52.452879-07","2021-10-07 15:30:52.452879-07"
85,4,20212022,8470775,"2021-10-07 15:30:52.809726-07","2021-10-07 15:30:52.809726-07"
86,4,20212022,8471735,"2021-10-07 15:30:53.148802-07","2021-10-07 15:30:53.148802-07"
87,4,20212022,8473512,"2021-10-07 15:30:53.483634-07","2021-10-07 15:30:53.483634-07"
88,4,20212022,8473544,"2021-10-07 15:30:53.824988-07","2021-10-07 15:30:53.824988-07"
89,4,20212022,8474027,"2021-10-07 15:30:54.158693-07","2021-10-07 15:30:54.158693-07"
90,4,20212022,8474037,"2021-10-07 15:30:54.446687-07","2021-10-07 15:30:54.446687-07"
91,4,20212022,8474715,"2021-10-07 15:30:54.757407-07","2021-10-07 15:30:54.757407-07"
92,4,20212022,8474889,"2021-10-07 15:30:55.034061-07","2021-10-07 15:30:55.034061-07"
93,4,20212022,8475176,"2021-10-07 15:30:55.133561-07","2021-10-07 15:30:55.133561-07"
94,4,20212022,8475763,"2021-10-07 15:30:55.4156-07","2021-10-07 15:30:55.4156-07"
95,4,20212022,8476372,"2021-10-07 15:30:55.743583-07","2021-10-07 15:30:55.743583-07"
96,4,20212022,8476461,"2021-10-07 15:30:56.049254-07","2021-10-07 15:30:56.049254-07"
97,4,20212022,8476872,"2021-10-07 15:30:56.367474-07","2021-10-07 15:30:56.367474-07"
98,4,20212022,8477352,"2021-10-07 15:30:56.696673-07","2021-10-07 15:30:56.696673-07"
99,4,20212022,8477499,"2021-10-07 15:30:57.105778-07","2021-10-07 15:30:57.105778-07"
100,4,20212022,8477502,"2021-10-07 15:30:57.412959-07","2021-10-07 15:30:57.412959-07"
101,4,20212022,8477948,"2021-10-07 15:30:57.710795-07","2021-10-07 15:30:57.710795-07"
102,4,20212022,8477979,"2021-10-07 15:30:57.993604-07","2021-10-07 15:30:57.993604-07"
